beam_height,beam_length,fillet_size,beam_width,modal_frequency_1,modal_frequency_2,modal_frequency_3,modal_frequency_4,max_deformation,max_stress 
20.0,12.8,0.1,0.56,186.63880879349938,1258.4562851959772,1379.3227239349571,1522.9629767569274,0.0722351148724556,2.745365198983653
20.0,14.2,0.1,0.56,167.65576452607,1173.4071060335814,1319.5363500574358,1457.3678205385959,0.08970636874437332,2.41023565966374
20.0,15.6,0.1,0.56,146.3196401651054,1115.3529502430442,1257.2656942932672,1404.1788461799345,0.11782161146402359,2.4579775100035746
20.0,17.0,0.1,0.56,133.05551929249884,1048.5597541613893,1123.448452136616,1326.5554078665705,0.14265789091587067,2.374658123207274
5.0,10.0,0.1,0.64,220.3406427601518,896.0681999287253,982.3864011746899,1650.27371341045,0.051924534142017365,2.6179557017659634
5.0,11.4,0.1,0.64,188.8063726210072,838.89343982311,886.0835771271794,1561.2961551616609,0.07088098675012589,2.639389979143065
5.0,12.8,0.1,0.64,165.65859562688817,789.4740295065371,805.443260924375,1256.4998262949525,0.09247725456953049,2.825435729041557
5.0,14.2,0.1,0.64,149.3081354484301,733.6756979514366,744.8323206963906,1052.3623176495282,0.11429230868816376,2.903626277430904
5.0,15.6,0.1,0.64,135.94601092256755,664.9237162893074,703.6095894310683,824.8627008069568,0.1389857828617096,2.672132794954611
5.0,17.0,0.1,0.64,126.04434141861688,596.9105469325608,657.9482912329815,740.7572434335844,0.16197405755519867,2.62116173582758
8.0,10.0,0.1,0.64,241.83669843294882,1212.1372138699726,1259.319872470091,1662.6434254841652,0.0431535467505455,2.0646168977228085
8.0,11.4,0.1,0.64,207.48811941092885,1141.4756069784714,1146.4943588349493,1588.753359419968,0.05868726968765259,2.261648671384155
8.0,12.8,0.1,0.64,181.05850153324644,1047.085516586448,1087.7617849985418,1424.405785238843,0.07733743637800217,2.25348784659101
8.0,14.2,0.1,0.64,159.14694328670933,964.8134087601519,1036.2538952869243,1228.1768841294886,0.10032859444618225,2.5310972533080105
8.0,15.6,0.1,0.64,145.01682342850773,888.4538639007816,985.0179481733675,1078.4829412472975,0.12109924852848053,2.3597825900949116
8.0,17.0,0.1,0.64,134.74003132971734,802.0508147848954,920.1071265690164,934.1305699544234,0.14067719876766205,2.2273393737088476
11.0,10.0,0.1,0.64,254.70409945475515,1409.8611917667447,1424.2662919573795,1629.6238057562002,0.03893807530403137,1.978737554997708
11.0,11.4,0.1,0.64,218.97649076682484,1289.2081925145826,1352.7653595106779,1582.5645897483407,0.052605003118515015,2.0061374015091107
11.0,12.8,0.1,0.64,196.0569753086338,1184.0494323272171,1287.283807531198,1467.6591810496402,0.06589951366186142,2.1050101373825787
11.0,14.2,0.1,0.64,175.82152593186296,1102.158906185603,1232.2877024978986,1372.1847917253465,0.08199479430913925,2.0449993324250078
11.0,15.6,0.1,0.64,155.83005384341936,1021.8577614187934,1177.0758777881758,1184.4441573763536,0.10480006784200668,2.137722030909572
11.0,17.0,0.1,0.64,141.0990047121601,928.5082011470944,1028.8623486227216,1079.6548102006618,0.12816593050956726,2.054024270870206
14.0,10.0,0.1,0.64,272.85912136980215,1480.2669718578543,1567.307247692741,1577.8996843053344,0.0340045727789402,1.8844027561140628
14.0,11.4,0.1,0.64,238.15951611165505,1360.799509582743,1491.0066495983413,1538.0938084659977,0.04458503797650337,1.9163493115926613
14.0,12.8,0.1,0.64,205.8578909176126,1256.057194090024,1421.4055444610767,1447.9603738219876,0.05980908125638962,2.1063375892336875
14.0,14.2,0.1,0.64,170.6294205868286,1171.7223457315692,1331.0684861498203,1363.4251230909788,0.08705094456672668,2.09412798481107
14.0,15.6,0.1,0.64,160.40056486254917,1101.0298202062975,1256.4621449690192,1306.249925773135,0.09855230897665024,2.362097861971922
14.0,17.0,0.1,0.64,144.75690883203612,1017.5096487637153,1101.445590296613,1181.4748150331272,0.12126446515321732,2.157175459175939
17.0,10.0,0.1,0.64,277.5049653771573,1502.6573827109305,1521.4465260367701,1668.7438217453157,0.032898832112550735,1.765016084168752
17.0,11.4,0.1,0.64,234.93326993277702,1395.2955238839834,1491.4261051607912,1591.686881749405,0.045788511633872986,1.8995243480841253
17.0,12.8,0.1,0.64,196.605768039637,1288.17958713952,1407.6011328793045,1517.0700053380394,0.06548818945884705,2.007027272455573
17.0,14.2,0.1,0.64,177.63559321258057,1205.0804014269984,1306.1802012683593,1453.821422426093,0.08046594262123108,1.9875851179192878
17.0,15.6,0.1,0.64,156.32762219779437,1143.7592312385245,1263.1412593112234,1399.5067322953023,0.10352334380149841,2.155053131053116
17.0,17.0,0.1,0.64,143.8142849147753,1059.3691320603057,1106.877113216438,1208.6682758936827,0.12275356054306032,2.0868135229722493
20.0,10.0,0.1,0.64,341.04394897764223,1495.0326888519664,1504.714097605656,1747.1386106341636,0.021962672472000122,1.7918903487344569
20.0,11.4,0.1,0.64,250.64376368238092,1407.1940750853819,1447.9959675398452,1670.5323902144987,0.04026532918214798,2.000014035509006
20.0,12.8,0.1,0.64,219.84426446394662,1319.4008329396615,1419.0554543466862,1600.879483972737,0.05224059522151947,2.011868647482775
20.0,14.2,0.1,0.64,190.68922288804444,1230.3699139855976,1347.0610077948156,1531.1246557384768,0.06957492977380753,1.9665554286770268
